Year,Month,Market_Group,Region,Channel_Level,Subchannel / Partner,Sales Employee / Account,Company_Group,Currency,Metric,Value_kEUR,Value_EUR,Date,,,,,,,,,,,,,,
2026,01/02/2026,Core Markets,Italy,Unspecified,,,Company 1,EUR,Budget,5,5200,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Core Markets,Italy,Unspecified,,,Company 1,EUR,Budget,6,5500,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Core Markets,Italy,Unspecified,,,Company 1,EUR,Budget,5,5275,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Core Markets,Italy,Unspecified,,,Company 1,EUR,Budget,10,10350,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Core Markets,Italy,Unspecified,,,Company 1,EUR,Budget,8,8200,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Core Markets,Italy,Unspecified,,,Company 1,EUR,Budget,5,5200,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Core Markets,Italy,Unspecified,,,Company 1,EUR,Budget,3,2975,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Core Markets,Italy,Unspecified,,,Company 1,EUR,Budget,7,7425,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Core Markets,Italy,Unspecified,,,Company 1,EUR,Budget,9,8500,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Core Markets,Italy,Unspecified,,,Company 1,EUR,Budget,9,9275,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Core Markets,Italy,Unspecified,,,Company 1,EUR,Budget,6,6050,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Core Markets,Spain,Unspecified,,,Company 1,EUR,Budget,12,12250,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Core Markets,Spain,Unspecified,,,Company 1,EUR,Budget,18,18000,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Core Markets,Spain,Unspecified,,,Company 1,EUR,Budget,22,21500,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Core Markets,Spain,Unspecified,,,Company 1,EUR,Budget,19,18875,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Core Markets,Spain,Unspecified,,,Company 1,EUR,Budget,20,19750,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Core Markets,Spain,Unspecified,,,Company 1,EUR,Budget,18,18000,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Core Markets,Spain,Unspecified,,,Company 1,EUR,Budget,18,18000,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Core Markets,Spain,Unspecified,,,Company 1,EUR,Budget,13,13375,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Core Markets,Spain,Unspecified,,,Company 1,EUR,Budget,23,22625,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Core Markets,Spain,Unspecified,,,Company 1,EUR,Budget,23,22500,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Core Markets,Spain,Unspecified,,,Company 1,EUR,Budget,23,22875,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Core Markets,Spain,Unspecified,,,Company 1,EUR,Budget,17,17250,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Core Markets,Switzerland,Unspecified,,,Company 1,EUR,Budget,52,51639,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Core Markets,Switzerland,Unspecified,,,Company 1,EUR,Budget,67,67415,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Core Markets,Switzerland,Unspecified,,,Company 1,EUR,Budget,83,83219,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Core Markets,Switzerland,Unspecified,,,Company 1,EUR,Budget,72,72154,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Core Markets,Switzerland,Unspecified,,,Company 1,EUR,Budget,76,76367,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Core Markets,Switzerland,Unspecified,,,Company 1,EUR,Budget,69,68990,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Core Markets,Switzerland,Unspecified,,,Company 1,EUR,Budget,67,67415,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Core Markets,Switzerland,Unspecified,,,Company 1,EUR,Budget,52,52150,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Core Markets,Switzerland,Unspecified,,,Company 1,EUR,Budget,83,82681,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Core Markets,Switzerland,Unspecified,,,Company 1,EUR,Budget,84,84269,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Core Markets,Switzerland,Unspecified,,,Company 1,EUR,Budget,80,79504,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Core Markets,Switzerland,Unspecified,,,Company 1,EUR,Budget,62,62139,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,eCommerce,eCommerce (excl. USA),Unspecified,,,Company 3,EUR,Budget,68,68000,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,eCommerce,eCommerce (excl. USA),Unspecified,,,Company 3,EUR,Budget,64,64000,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,eCommerce,eCommerce (excl. USA),Unspecified,,,Company 3,EUR,Budget,61,61000,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,eCommerce,eCommerce (excl. USA),Unspecified,,,Company 3,EUR,Budget,48,48000,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,eCommerce,eCommerce (excl. USA),Unspecified,,,Company 3,EUR,Budget,56,56000,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,eCommerce,eCommerce (excl. USA),Unspecified,,,Company 3,EUR,Budget,50,50000,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,eCommerce,eCommerce (excl. USA),Unspecified,,,Company 3,EUR,Budget,53,53000,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,eCommerce,eCommerce (excl. USA),Unspecified,,,Company 3,EUR,Budget,54,54000,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,eCommerce,eCommerce (excl. USA),Unspecified,,,Company 3,EUR,Budget,58,58000,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,eCommerce,eCommerce (excl. USA),Unspecified,,,Company 3,EUR,Budget,66,66000,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,eCommerce,eCommerce (excl. USA),Unspecified,,,Company 3,EUR,Budget,90,90000,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,eCommerce,eCommerce (excl. USA),Unspecified,,,Company 3,EUR,Budget,80,80000,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Export,Distributor - APAC,Unspecified,,,Company 2,EUR,Budget,0,0,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Export,Distributor - APAC,Unspecified,,,Company 2,EUR,Budget,0,0,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Export,Distributor - APAC,Unspecified,,,Company 2,EUR,Budget,0,0,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Export,Distributor - APAC,Unspecified,,,Company 2,EUR,Budget,0,0,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Export,Distributor - APAC,Unspecified,,,Company 2,EUR,Budget,0,0,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Export,Distributor - APAC,Unspecified,,,Company 2,EUR,Budget,15,15000,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Export,Distributor - APAC,Unspecified,,,Company 2,EUR,Budget,15,15000,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Export,Distributor - APAC,Unspecified,,,Company 2,EUR,Budget,15,15000,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Export,Distributor - APAC,Unspecified,,,Company 2,EUR,Budget,22,22000,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Export,Distributor - APAC,Unspecified,,,Company 2,EUR,Budget,22,22000,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Export,Distributor - APAC,Unspecified,,,Company 2,EUR,Budget,29,29000,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Export,Distributor - APAC,Unspecified,,,Company 2,EUR,Budget,29,29000,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Export,Distributor - Austria,Unspecified,,,Company 1,EUR,Budget,39,39000,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Export,Distributor - Austria,Unspecified,,,Company 1,EUR,Budget,39,39000,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Export,Distributor - Austria,Unspecified,,,Company 1,EUR,Budget,39,39000,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Export,Distributor - Austria,Unspecified,,,Company 1,EUR,Budget,39,39000,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Export,Distributor - Austria,Unspecified,,,Company 1,EUR,Budget,26,26000,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Export,Distributor - Austria,Unspecified,,,Company 1,EUR,Budget,43,43000,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Export,Distributor - Austria,Unspecified,,,Company 1,EUR,Budget,17,17000,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Export,Distributor - Austria,Unspecified,,,Company 1,EUR,Budget,17,17000,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Export,Distributor - Austria,Unspecified,,,Company 1,EUR,Budget,34,34000,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Export,Distributor - Austria,Unspecified,,,Company 1,EUR,Budget,52,52000,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Export,Distributor - Austria,Unspecified,,,Company 1,EUR,Budget,43,43000,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Export,Distributor - Austria,Unspecified,,,Company 1,EUR,Budget,43,43000,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Export,Distributor - China,Unspecified,,,Company 2,EUR,Budget,24,24000,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Export,Distributor - China,Unspecified,,,Company 2,EUR,Budget,24,24000,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Export,Distributor - China,Unspecified,,,Company 2,EUR,Budget,26,26000,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Export,Distributor - China,Unspecified,,,Company 2,EUR,Budget,34,34000,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Export,Distributor - China,Unspecified,,,Company 2,EUR,Budget,64,64000,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Export,Distributor - China,Unspecified,,,Company 2,EUR,Budget,48,48000,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Export,Distributor - China,Unspecified,,,Company 2,EUR,Budget,48,48000,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Export,Distributor - China,Unspecified,,,Company 2,EUR,Budget,48,48000,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Export,Distributor - China,Unspecified,,,Company 2,EUR,Budget,200,200000,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Export,Distributor - China,Unspecified,,,Company 2,EUR,Budget,120,120000,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Export,Distributor - China,Unspecified,,,Company 2,EUR,Budget,80,80000,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Export,Distributor - China,Unspecified,,,Company 2,EUR,Budget,80,80000,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Export,Export - Direct business,Unspecified,,,Company 1,EUR,Budget,3,3000,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Export,Export - Direct business,Unspecified,,,Company 1,EUR,Budget,3,3000,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Export,Export - Direct business,Unspecified,,,Company 1,EUR,Budget,3,3000,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Export,Export - Direct business,Unspecified,,,Company 1,EUR,Budget,3,3000,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Export,Export - Direct business,Unspecified,,,Company 1,EUR,Budget,3,3000,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Export,Export - Direct business,Unspecified,,,Company 1,EUR,Budget,2,2000,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Export,Export - Direct business,Unspecified,,,Company 1,EUR,Budget,2,2000,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Export,Export - Direct business,Unspecified,,,Company 1,EUR,Budget,2,2000,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Export,Export - Direct business,Unspecified,,,Company 1,EUR,Budget,3,3000,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Export,Export - Direct business,Unspecified,,,Company 1,EUR,Budget,3,3000,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Export,Export - Direct business,Unspecified,,,Company 1,EUR,Budget,3,3000,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Export,Export - Direct business,Unspecified,,,Company 1,EUR,Budget,2,2000,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Export,Distributor - Middle East,Unspecified,,,Company 2,EUR,Budget,18,18000,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Export,Distributor - Middle East,Unspecified,,,Company 2,EUR,Budget,18,18000,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Export,Distributor - Middle East,Unspecified,,,Company 2,EUR,Budget,18,18000,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Export,Distributor - Middle East,Unspecified,,,Company 2,EUR,Budget,18,18000,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Export,Distributor - Middle East,Unspecified,,,Company 2,EUR,Budget,12,12000,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Export,Distributor - Middle East,Unspecified,,,Company 2,EUR,Budget,20,20000,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Export,Distributor - Middle East,Unspecified,,,Company 2,EUR,Budget,8,8000,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Export,Distributor - Middle East,Unspecified,,,Company 2,EUR,Budget,8,8000,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Export,Distributor - Middle East,Unspecified,,,Company 2,EUR,Budget,16,16000,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Export,Distributor - Middle East,Unspecified,,,Company 2,EUR,Budget,24,24000,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Export,Distributor - Middle East,Unspecified,,,Company 2,EUR,Budget,20,20000,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Export,Distributor - Middle East,Unspecified,,,Company 2,EUR,Budget,20,20000,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Export,Distributor - New,Unspecified,,,Company 1,EUR,Budget,0,0,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Export,Distributor - New,Unspecified,,,Company 1,EUR,Budget,0,0,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Export,Distributor - New,Unspecified,,,Company 1,EUR,Budget,0,0,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Export,Distributor - New,Unspecified,,,Company 1,EUR,Budget,0,0,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Export,Distributor - New,Unspecified,,,Company 1,EUR,Budget,0,0,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Export,Distributor - New,Unspecified,,,Company 1,EUR,Budget,2,2000,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Export,Distributor - New,Unspecified,,,Company 1,EUR,Budget,2,2000,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Export,Distributor - New,Unspecified,,,Company 1,EUR,Budget,2,2000,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Export,Distributor - New,Unspecified,,,Company 1,EUR,Budget,3,3000,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Export,Distributor - New,Unspecified,,,Company 1,EUR,Budget,3,3000,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Export,Distributor - New,Unspecified,,,Company 1,EUR,Budget,4,4000,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Export,Distributor - New,Unspecified,,,Company 1,EUR,Budget,4,4000,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Export,Distributor - Other EU,Unspecified,,,Company 1,EUR,Budget,37,37000,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Export,Distributor - Other EU,Unspecified,,,Company 1,EUR,Budget,32,32000,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Export,Distributor - Other EU,Unspecified,,,Company 1,EUR,Budget,46,46000,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Export,Distributor - Other EU,Unspecified,,,Company 1,EUR,Budget,41,41000,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Export,Distributor - Other EU,Unspecified,,,Company 1,EUR,Budget,41,41000,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Export,Distributor - Other EU,Unspecified,,,Company 1,EUR,Budget,37,37000,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Export,Distributor - Other EU,Unspecified,,,Company 1,EUR,Budget,37,37000,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Export,Distributor - Other EU,Unspecified,,,Company 1,EUR,Budget,27,27000,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Export,Distributor - Other EU,Unspecified,,,Company 1,EUR,Budget,41,41000,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Export,Distributor - Other EU,Unspecified,,,Company 1,EUR,Budget,46,46000,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Export,Distributor - Other EU,Unspecified,,,Company 1,EUR,Budget,41,41000,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Export,Distributor - Other EU,Unspecified,,,Company 1,EUR,Budget,32,32000,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Export,Distributor - Other ROW,Unspecified,,,Company 1,EUR,Budget,2,2000,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Export,Distributor - Other ROW,Unspecified,,,Company 1,EUR,Budget,2,2000,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Export,Distributor - Other ROW,Unspecified,,,Company 1,EUR,Budget,3,3000,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Export,Distributor - Other ROW,Unspecified,,,Company 1,EUR,Budget,3,3000,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Export,Distributor - Other ROW,Unspecified,,,Company 1,EUR,Budget,3,3000,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Export,Distributor - Other ROW,Unspecified,,,Company 1,EUR,Budget,2,2000,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Export,Distributor - Other ROW,Unspecified,,,Company 1,EUR,Budget,2,2000,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Export,Distributor - Other ROW,Unspecified,,,Company 1,EUR,Budget,2,2000,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Export,Distributor - Other ROW,Unspecified,,,Company 1,EUR,Budget,3,3000,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Export,Distributor - Other ROW,Unspecified,,,Company 1,EUR,Budget,3,3000,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Export,Distributor - Other ROW,Unspecified,,,Company 1,EUR,Budget,3,3000,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Export,Distributor - Other ROW,Unspecified,,,Company 1,EUR,Budget,2,2000,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Export,Distributor - Russia,Unspecified,,,Company 1,EUR,Budget,0,0,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Export,Distributor - Russia,Unspecified,,,Company 1,EUR,Budget,70,70000,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Export,Distributor - Russia,Unspecified,,,Company 1,EUR,Budget,0,0,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Export,Distributor - Russia,Unspecified,,,Company 1,EUR,Budget,0,0,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Export,Distributor - Russia,Unspecified,,,Company 1,EUR,Budget,88,88000,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Export,Distributor - Russia,Unspecified,,,Company 1,EUR,Budget,0,0,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Export,Distributor - Russia,Unspecified,,,Company 1,EUR,Budget,0,0,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Export,Distributor - Russia,Unspecified,,,Company 1,EUR,Budget,105,105000,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Export,Distributor - Russia,Unspecified,,,Company 1,EUR,Budget,0,0,01/09/2026,,,,,,,,,,,,,,
2026,01/10/2026,Export,Distributor - Russia,Unspecified,,,Company 1,EUR,Budget,0,0,01/10/2026,,,,,,,,,,,,,,
2026,01/11/2026,Export,Distributor - Russia,Unspecified,,,Company 1,EUR,Budget,88,88000,01/11/2026,,,,,,,,,,,,,,
2026,01/12/2026,Export,Distributor - Russia,Unspecified,,,Company 1,EUR,Budget,0,0,01/12/2026,,,,,,,,,,,,,,
2026,01/01/2026,Export,Distributor - South Africa,Unspecified,,,Company 1,EUR,Budget,0,0,01/01/2026,,,,,,,,,,,,,,
2026,01/02/2026,Export,Distributor - South Africa,Unspecified,,,Company 1,EUR,Budget,100,100000,01/02/2026,,,,,,,,,,,,,,
2026,01/03/2026,Export,Distributor - South Africa,Unspecified,,,Company 1,EUR,Budget,75,75000,01/03/2026,,,,,,,,,,,,,,
2026,01/04/2026,Export,Distributor - South Africa,Unspecified,,,Company 1,EUR,Budget,0,0,01/04/2026,,,,,,,,,,,,,,
2026,01/05/2026,Export,Distributor - South Africa,Unspecified,,,Company 1,EUR,Budget,75,75000,01/05/2026,,,,,,,,,,,,,,
2026,01/06/2026,Export,Distributor - South Africa,Unspecified,,,Company 1,EUR,Budget,75,75000,01/06/2026,,,,,,,,,,,,,,
2026,01/07/2026,Export,Distributor - South Africa,Unspecified,,,Company 1,EUR,Budget,0,0,01/07/2026,,,,,,,,,,,,,,
2026,01/08/2026,Export,Distributor - South Africa,Unspecified,,,Company 1,EUR,Budget,63,63000,01/08/2026,,,,,,,,,,,,,,
2026,01/09/2026,Export,Distributor - South Africa,Unspecified,,,Company 1,EUR,Budget,0,0,01/09/2026,,,,,,,,,,,,,,
